id	EC_number	hier1	hier2	hier3	name	comment	alter_name
258	2.3.2.31	Transferases.	Acyltransferases.	Aminoacyltransferases.	RBR-type E3 ubiquitin transferase.	RBR-type E3 ubiquitin transferases have two RING fingers separated by an internal motif (IBR, for In Between RING). The enzyme interacts with the CRL (Cullin-RING ubiquitin Ligase) complexes formed by certain RING-type E3 ubiquitin transferase (see EC 2.3.2.27), which include a neddylated cullin scaffold protein and a substrate recognition module. The RING1 domain binds an EC 2.3.2.23, and transfers the ubiquitin that is bound to it to an internal cysteine residue in the RING2 domain, followed by the transfer of the ubiquitin from RING2 to the substrate. Once the substrate has been ubiquitinated by the RBR-type ligase, it can be ubiqutylated further using ubiquitin carried directly on E2 enzymes, in a reaction catalyzed by EC 2.3.2.27. Activity of the RBR-type enzyme is dependent on neddylation of the cullin protein in the CRL complex. Cf. EC 2.3.2.26, EC 2.3.2.27, and EC 2.3.2.32.	
259	2.3.1.5	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	arylamine N-acetyltransferase.	Wide specificity for aromatic amines, including serotonin; also catalyzes acetyl-transfer between arylamines without CoA.	arylamine acetylase.
260	5.1.1.3	Isomerases.	Racemases and epimerases.	Acting on amino acids and derivatives.	glutamate racemase.		
261	1.13.11.24	Oxidoreductases.	Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.	With incorporation of two atoms of oxygen.	quercetin 2,3-dioxygenase.	Quercetin is a flavonol (5,7,3',4'-tetrahydroxyflavonol).	
262	1.14.18.1	Oxidoreductases.	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.	With another compound as one donor, and incorporation of one atom of oxygen.	tyrosinase.	Found in a broad variety of bacteria, fungi, plants, insects, crustaceans, and mammals, which is involved in the synthesis of betalains and melanin. The enzyme, which is activated upon binding molecular oxygen, can catalyze both a monophenolase reaction cycle or a diphenolase reaction cycle. During the monophenolase cycle, one of the bound oxygen atoms is transferred to a monophenol (such as L-tyrosine), generating an O-diphenol intermediate, which is subsequently oxidized to an o-quinone and released, along with a water molecule. The enzyme remains in an inactive deoxy state, and is restored to the active oxy state by the binding of a new oxygen molecule. During the diphenolase cycle the enzyme binds an external diphenol molecule (such as L-dopa) and oxidizes it to an O-quinone that is released along with a water molecule, leaving the enzyme in the intermediate met state. The enzyme then binds a second diphenol molecule and repeats the process, ending in a deoxy state. The second reaction is identical to that catalyzed by the related enzyme catechol oxidase (EC 1.10.3.1). However, the latter can not catalyze the hydroxylation or monooxygenation of monophenols. Formerly EC 1.14.17.2.	cresolase. monophenol monooxygenase. monophenol oxidase. N-acetyl-6-hydroxytryptophan oxidase. phenolase. tyrosine-dopa oxidase.
263	1.8.4.11	Oxidoreductases.	Acting on a sulfur group of donors.	With a disulfide as acceptor.	peptide-methionine (S)-S-oxide reductase.	The reaction occurs in the reverse direction to that shown above. Exhibits high specificity for the reduction of the S-form of L-methionine S-oxide, acting faster on the residue in a peptide than on the free amino acid. On the free amino acid, it can also reduce D-methionine (S)-S-oxide but more slowly. Plays a role in preventing oxidative-stress damage caused by reactive oxygen species by reducing the oxidized form of methionine back to methionine and thereby reactivating peptides that had been damaged. The reaction proceeds via a sulfenic-acid intermediate. Formerly EC 1.8.4.6.	methionine S-oxide reductase. methionine S-oxide reductase (S-form oxidizing). methionine sulfoxide reductase. methionine sulfoxide reductase A. methionine sulphoxide reductase A. peptide Met(O) reductase. peptide methionine sulfoxide reductase.
264	2.8.1.1	Transferases.	Transferring sulfur-containing groups.	Sulfurtransferases.	thiosulfate sulfurtransferase.	A few other sulfur compounds can act as donors.	rhodanese. thiosulfate cyanide transsulfurase. thiosulfate thiotransferase.
265	6.1.1.6	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	lysine--tRNA ligase.		lysine translase. lysyl-tRNA synthetase.
266	3.1.27.3	Hydrolases.	Acting on ester bonds.	Endoribonucleases producing other than 5'-phosphomonoesters.	Transferred entry: 4.6.1.24.		
267	2.7.7.19	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	polynucleotide adenylyltransferase.	Also acts slowly with CTP. Catalyzes template-independent extension of the 3'-end of a DNA strand by one nucleotide at a time. Cannot initiate a chain de novo. The primer, depending on the source of the enzyme, may be an RNA or DNA fragment or oligo(A) bearing a 3'-OH terminal group. See also EC 2.7.7.6.	NTP polymerase. poly(A) polymerase. RNA adenylating enzyme.
268	1.1.1.27	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	L-lactate dehydrogenase.	Also oxidizes other (S)-2-hydroxymonocarboxylic acids. NADP(+) acts, more slowly, with the animal, but not the bacterial, enzyme.	L-lactic acid dehydrogenase. L-lactic dehydrogenase.
269	1.7.2.1	Oxidoreductases.	Acting on other nitrogenous compounds as donors.	With a cytochrome as acceptor.	nitrite reductase (NO-forming).	The reaction is catalyzed by two types of enzymes, found in the perimplasm of denitrifying bacteria. One type comprises proteins containing multiple copper centers, the other a heme protein, cytochrome cd1. Acceptors include c-type cytochromes such as cytochrome c-550 or cytochrome c-551 from Paracoccus denitrificans or Pseudomonas aeruginosa, and small blue copper proteins such as azurin and pseudoazurin. Cytochrome cd1 also has oxidase and hydroxylamine reductase activities. May also catalyze the reaction of EC 1.7.99.1 since this is a well- known activity of cytochrome cd1. Formerly EC 1.6.6.5, EC 1.7.99.3 and EC 1.9.3.2.	cd-cytochrome nitrite reductase. cytochrome c-551:O2, NO2(+) oxidoreductase. cytochrome cd. cytochrome cd1. hydroxylamine (acceptor) reductase. methyl viologen-nitrite reductase. nitrite reductase. nitrite reductase (cytochrome; NO-forming). nitrite reductase (cytochrome). Pseudomonas cytochrome oxidase.
270	2.1.1.182	Transferases.	Transferring one-carbon groups.	Methyltransferases.	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase.	KsgA introduces the most highly conserved ribosomal RNA modification, the dimethylation of adenine(1518) and adenine(1519) in 16S rRNA. Strains lacking the methylase are resistant to kasugamycin. Formerly EC 2.1.1.48.	
271	3.4.19.12	Hydrolases.	Acting on peptide bonds (peptidases).	Omega peptidases.	ubiquitinyl hydrolase 1.	Links to polypeptides smaller than 60 residues are hydrolyzed more readily than those to larger polypeptides. Isoforms exist with quantitatively different specificities among the best known being UCH-L1 and UCH-L3, major proteins of the brain of mammals. Inhibited by ubiquitin aldehyde (in which Gly76 is replaced by aminoacetaldehyde). Belongs to peptidase family C12.	ubiquitin C-terminal hydrolase. ubiquitin thiolesterase.
272	2.1.1.77	Transferases.	Transferring one-carbon groups.	Methyltransferases.	protein-L-isoaspartate(D-aspartate) O-methyltransferase.	D-aspartate (but not L-aspartate) residues in proteins can also act as acceptors. Formerly EC 2.1.1.24.	L-isoaspartyl protein carboxyl methyltransferase. protein beta-aspartate O-methyltransferase. protein D-aspartate methyltransferase. protein L-isoaspartyl methyltransferase.
273	2.3.3.10	Transferases.	Acyltransferases.	Acyl groups converted into alkyl groups on transfer.	hydroxymethylglutaryl-CoA synthase.	Formerly EC 4.1.3.5.	(S)-3-hydroxy-3-methylglutaryl-CoA acetoacetyl-CoA-lyase (CoA- acetylating). 3-hydroxy-3-methylglutaryl-CoA synthase. 3-hydroxy-3-methylglutaryl CoA synthetase. 3-hydroxy-3-methylglutaryl coenzyme A synthase. 3-hydroxy-3-methylglutaryl-coenzyme A synthase. 3-hydroxy-3-methylglutaryl coenzyme A synthetase. acetoacetyl coenzyme A transacetase. beta-hydroxy-beta-methylglutaryl-CoA synthase. HMG-CoA synthase. hydroxymethylglutaryl coenzyme alpha-condensing enzyme. hydroxymethylglutaryl coenzyme A synthase.
274	2.7.1.1	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	hexokinase.	D-glucose, D-mannose, D-fructose, sorbitol and D-glucosamine can act as acceptors. ITP and dATP can act as donors.	hexokinase type I. hexokinase type II. hexokinase type III. hexokinase type IV (glucokinase).
275	3.1.1.1	Hydrolases.	Acting on ester bonds.	Carboxylic ester hydrolases.	carboxylesterase.	Wide specificity; also hydrolyzes vitamin A esters. The enzymes from microsomes also catalyze the reactions of EC 3.1.1.2, EC 3.1.1.5, EC 3.1.1.6, EC 3.1.1.23, EC 3.1.1.28, EC 3.1.2.2, EC 3.5.1.4 and EC 3.5.1.13. Formerly EC 3.1.1.12.	ali-esterase. B-esterase. cocaine esterase. methylbutyrase. monobutyrase. procaine esterase.
276	2.7.1.4	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	fructokinase.		D-fructokinase.
277	5.3.1.6	Isomerases.	Intramolecular oxidoreductases.	Interconverting aldoses and ketoses.	ribose-5-phosphate isomerase.	Also acts on D-ribose 5-diphosphate and D-ribose 5-triphosphate.	5-phosphoribose isomerase. D-ribose-5-phosphate ketol-isomerase. phosphopentoseisomerase. phosphopentosisomerase. phosphoriboisomerase. ribose 5-phosphate epimerase. ribose phosphate isomerase.
278	2.7.1.11	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	6-phosphofructokinase.	The enzyme from rabbit muscle displays absolute stereoselectivity for the beta-anomer of D-fructofuranose 6-phosphate. D-tagatose 6-phosphate and sedoheptulose 7-phosphate can act as acceptors. UTP, CTP and ITP can act as donors. Not identical with EC 2.7.1.105.	phosphofructokinase I. phosphohexokinase.
279	1.2.4.4	Oxidoreductases.	Acting on the aldehyde or oxo group of donors.	With a disulfide as acceptor.	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring).	It acts not only on 3-methyl-2-oxobutanaoate, but also on 4-methyl-2- oxopentanoate and (S)-3-methyl-2-oxopentanoate, so that it acts on the 2-oxo acids that derive from the action of transaminases on valine, leucine and isoleucine. It is a component of the multienzyme 3-methyl-2-oxobutanoate dehydrogenase complex in which multiple copies of it are bound to a core of molecules of EC 2.3.1.168, which also binds multiple copies of EC 1.8.1.4. It does not act on free lipoamide or lipoyllysine, but only on the lipoyllysine residue in EC 2.3.1.168. Formerly EC 1.2.4.3.	2-oxoisocaproate dehydrogenase. 2-oxoisovalerate (lipoate) dehydrogenase. 3-methyl-2-oxobutanoate dehydrogenase (lipoamide). alpha-keto-alpha-methylvalerate dehydrogenase. alpha-ketoisocaproate dehydrogenase. alpha-ketoisocaproic-alpha-keto-alpha-methylvaleric dehydrogenase. alpha-ketoisocaproic dehydrogenase. alpha-ketoisovalerate dehydrogenase. alpha-oxoisocaproate dehydrogenase. BCKDH. BCOAD. branched-chain (-2-oxoacid) dehydrogenase (BCD). branched-chain 2-keto acid dehydrogenase. branched-chain 2-oxo acid dehydrogenase. branched-chain alpha-keto acid dehydrogenase. branched-chain alpha-oxo acid dehydrogenase. branched chain keto acid dehydrogenase. branched-chain ketoacid dehydrogenase. branched-chain keto acid dehydrogenase. dehydrogenase, 2-oxoisovalerate (lipoate).
280	1.8.4.8	Oxidoreductases.	Acting on a sulfur group of donors.	With a disulfide as acceptor.	phosphoadenylyl-sulfate reductase (thioredoxin).	Specific for PAPS. The enzyme from Escherichia coli will use thioredoxins from other species. Formerly EC 1.8.99.4.	3'-phosphoadenylylsulfate reductase. PAdoPS reductase. PAPS reductase. PAPS reductase, thioredoxin-dependent. PAPS sulfotransferase. phosphoadenosine-phosphosulfate reductase. thioredoxin:3'-phospho-adenylylsulfate reductase. thioredoxin:adenosine 3'-phosphate 5'-phosphosulfate reductase.
281	1.6.99.1	Oxidoreductases.	Acting on NADH or NADPH.	With other acceptors.	NADPH dehydrogenase.	FMN in yeasts; FAD in plants.	NADPH diaphorase.
282	3.1.26.5	Hydrolases.	Acting on ester bonds.	Endoribonucleases producing 5'-phosphomonoesters.	ribonuclease P.	Essential for tRNA processing; generates 5'-termini of mature tRNA molecules.	
283	1.8.1.4	Oxidoreductases.	Acting on a sulfur group of donors.	With NAD(+) or NADP(+) as acceptor.	dihydrolipoyl dehydrogenase.	A component of the multienzyme 2-oxo-acid dehydrogenase complexes. In the pyruvate dehydrogenase complex, it binds to the core of EC 2.3.1.12 and catalyzes oxidation of its dihydrolipoyl groups. It plays a similar role in the oxoglutarate and 3-methyl-2- oxobutanoate dehydrogenase complexes. Another substrate is the dihydrolipoyl group in the H-protein of the glycine-cleavage system, in which it acts, together with EC 1.4.4.2 and EC 2.1.2.10 to break down glycine. It can also use free dihydrolipoate, dihydrolipoamide or dihydrolipoyllysine as substrate. Was first shown to catalyze the oxidation of NADH by methylene blue; this activity was called diaphorase. The glycine cleavage system is composed of four components that only loosely associate: the P protein (EC 1.4.4.2), the T protein (EC 2.1.2.10), the L protein (EC 1.8.1.4) and the lipoyl-bearing H protein. Formerly EC 1.6.4.3.	dehydrolipoate dehydrogenase. diaphorase. dihydrolipoamide dehydrogenase. dihydrolipoic dehydrogenase. dihydrothioctic dehydrogenase. E3 component of alpha-ketoacid dehydrogenase complexes. glycine-cleavage system L-protein. LDP-Glc. LDP-Val. lipoamide dehydrogenase (NADH). lipoamide oxidoreductase (NADH). lipoamide reductase. lipoamide reductase (NADH). lipoate dehydrogenase. lipoic acid dehydrogenase. lipoyl dehydrogenase. L-protein.
284	2.4.1.15	Transferases.	Glycosyltransferases.	Hexosyltransferases.	alpha,alpha-trehalose-phosphate synthase (UDP-forming).	See also EC 2.4.1.36.	transglucosylase. trehalose 6-phosphate synthase. trehalose 6-phosphate synthetase. trehalose phosphate synthase. trehalose phosphate synthetase. trehalosephosphate-UDP glucosyltransferase. UDP-glucose--glucose-phosphate glucosyltransferase.
285	1.8.1.7	Oxidoreductases.	Acting on a sulfur group of donors.	With NAD(+) or NADP(+) as acceptor.	glutathione-disulfide reductase.	Activity is dependent on a redox-active disulfide in each of the active centers. Formerly EC 1.6.4.2.	glutathione reductase. glutathione reductase (NADPH). glutathione S-reductase. GSH reductase. GSSG reductase. NADPH:oxidized-glutathione oxidoreductase. NADPH-glutathione reductase. NADPH-GSSG reductase.
286	2.2.1.6	Transferases.	Transferring aldehyde or ketonic groups.	Transketolases and transaldolases.	acetolactate synthase.	The reaction shown is in the pathway of biosynthesis of valine. The enzyme can also transfer the acetaldehyde from pyruvate to 2-oxobutanoate, forming 2-ethyl-2-hydroxy-3-oxobutanoate, also known as 2-aceto-2-hydroxybutanoate, a reaction in the biosynthesis of isoleucine. Formerly EC 4.1.3.18.	acetohydroxyacid synthase. acetohydroxy acid synthetase. acetolactate pyruvate-lyase (carboxylating). acetolactic synthetase. alpha-acetohydroxyacid synthase. alpha-acetohydroxy acid synthetase. alpha-acetolactate synthase. alpha-acetolactate synthetase.
287	3.1.3.8	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	3-phytase.		1-phytase. myo-inositol-hexakisphosphate 3-phosphohydrolase. phytase. phytate 1-phosphatase. phytate 3-phosphatase. phytate 6-phosphatase.
288	6.3.5.2	Ligases.	Forming carbon-nitrogen bonds.	Carbon--nitrogen ligases with glutamine as amido-N-donor.	GMP synthase (glutamine-hydrolyzing).	Involved in the de novo biosynthesis of guanosine nucleotides. An N-terminal glutaminase domain binds L-glutamine and generates ammonia, which is transferred by a substrate-protective tunnel to the ATP-pyrophosphatase domain. The enzyme can catalyze the second reaction alone in the presence of ammonia. Formerly EC 6.3.4.1.	GMP synthetase (glutamine-hydrolyzing).
289	2.7.2.8	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with a carboxy group as acceptor.	acetylglutamate kinase.		
290	4.2.1.52	Lyases.	Carbon-oxygen lyases.	Hydro-lyases.	Transferred entry: 4.3.3.7.		
291	3.5.2.9	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In cyclic amides.	5-oxoprolinase (ATP-hydrolyzing).		5-OPase. 5-oxo-L-prolinase. pyroglutamase (ATP-hydrolyzing).
292	1.11.1.10	Oxidoreductases.	Acting on a peroxide as acceptor.	Peroxidases.	chloride peroxidase.	Brings about the chlorination of a range of organic molecules, forming stable C-Cl bonds. Also oxidizes bromide and iodide. Enzymes of this type are either heme-thiolate proteins, or contain vanadate. A secreted enzyme produced by the ascomycetous fungus Caldariomyces fumago (Leptoxyphium fumago) is an example of the heme-thiolate type. It catalyzes the production of hypochlorous acid by transferring one oxygen atom from H2O2 to chloride. At a separate site it catalyzes the chlorination of activated aliphatic and aromatic substrates, via HClO and derived chlorine species. In the absence of halides, it shows peroxidase (e.g. phenol oxidation) and peroxygenase activities. The latter inserts oxygen from H2O2 into, for example, styrene (side chain epoxidation) and toluene (benzylic hydroxylation), however, these activities are less pronounced than its activity with halides. Has little activity with non-activated substrates such as aromatic rings, ethers or saturated alkanes. The chlorinating peroxidase produced by ascomycetous fungi (e.g. Curvularia inaequalis) is an example of a vanadium chloroperoxidase, and is related to bromide peroxidase (EC 1.11.1.18). It contains vanadate and oxidizes chloride, bromide and iodide into hypohalous acids. In the absence of halides, it peroxygenates organic sulfides and oxidizes ABTS [2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)] but no phenols.	chloroperoxidase. CPO. vanadium haloperoxidase.
293	3.1.1.72	Hydrolases.	Acting on ester bonds.	Carboxylic ester hydrolases.	acetylxylan esterase.	catalyzes the hydrolysis of acetyl groups from polymeric xylan, acetylated xylose, acetylated glucose, alpha-napthyl acetate, p-nitrophenyl acetate but not from triacetylglycerol. Does not act on acetylated mannan or pectin.	
294	2.7.6.1	Transferases.	Transferring phosphorus-containing groups.	Diphosphotransferases.	ribose-phosphate diphosphokinase.	dATP can also act as donor.	Phosphoribosyl diphosphate synthetase. Phosphoribosyl pyrophosphate synthetase. ribose-phosphate pyrophosphokinase.
295	2.7.1.20	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	adenosine kinase.	2-Aminoadenosine can also act as acceptor.	
296	6.1.1.10	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	methionine--tRNA ligase.	In those organisms producing N-formylmethionyl-tRNA(fMet) for translation initiation, this enzyme also recognizes the initiator tRNA(fMet) and catalyzes the formation of L-methionyl-tRNA(fMet), the substrate for EC 2.1.2.9.	methionine translase. methionyl-transfer ribonucleate synthetase. methionyl-transfer ribonucleic acid synthetase. methionyl-transfer RNA synthetase. methionyl-tRNA synthetase. MetRS.
297	2.4.2.7	Transferases.	Glycosyltransferases.	Pentosyltransferases.	adenine phosphoribosyltransferase.	5-Amino-4-imidazolecarboxamide can replace adenine.	AMP diphosphorylase. AMP pyrophosphorylase. APRT. transphosphoribosidase.
298	3.5.1.11	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In linear amides.	penicillin amidase.		penicillin acylase.
299	1.8.1.9	Oxidoreductases.	Acting on a sulfur group of donors.	With NAD(+) or NADP(+) as acceptor.	thioredoxin-disulfide reductase.	May be identical to EC 1.8.1.10. Formerly EC 1.6.4.5.	NADPH:oxidized thioredoxin oxidoreductase. NADPH--thioredoxin reductase. NADP--thioredoxin reductase. thioredoxin reductase (NADPH).
300	3.1.26.4	Hydrolases.	Acting on ester bonds.	Endoribonucleases producing 5'-phosphomonoesters.	ribonuclease H.	Acts on RNA-DNA hybrids.	endoribonuclease H. RNase H.
301	1.17.4.1	Oxidoreductases.	Acting on CH or CH2 groups.	With a disulfide as acceptor.	ribonucleoside-diphosphate reductase.	This enzyme is responsible for the de novo conversion of ribonucleoside diphosphates into deoxyribonucleoside diphosphates, which are essential for DNA synthesis and repair. There are three types of this enzyme differing in their cofactors. Class Ia enzymes contain a diiron(III)-tyrosyl radical, class Ib enzymes contain a dimanganese-tyrosyl radical, and class II enzymes contain adenosylcobalamin. In all cases the cofactors are involved in generation of a transient thiyl (sulfanyl) radical on a cysteine residue, which attacks the substrate, forming a ribonucleotide 3'-radical, followed by water loss to form a ketyl (alpha-oxoalkyl) radical. The ketyl radical is reduced to 3'-keto-deoxynucleotide concomitant with formation of a disulfide anion radical between two cysteine residues. A proton-coupled electron-transfer from the disulfide radical to the substrate generates a 3'-deoxynucleotide radical, and the the final product is formed when the hydrogen atom that was initially removed from the 3'-position of the nucleotide by the thiyl radical is returned to the same position. The disulfide bridge is reduced by the action of thioredoxin. Cf. EC 1.1.98.6 and EC 1.17.4.2.	ribonucleotide reductase.
302	1.3.7.7	Oxidoreductases.	Acting on the CH-CH group of donors.	With an iron-sulfur protein as acceptor.	ferredoxin:protochlorophyllide reductase (ATP-dependent).	Occurs in photosynthetic bacteria, cyanobacteria, green algae and gymnosperms. The enzyme catalyzes trans-reduction of the D-ring of protochlorophyllide; the product has the (7S,8S)-configuration. Unlike EC 1.3.1.33 light is not required. The enzyme contains a [4Fe-4S] cluster, and structurally resembles the Fe protein/MoFe protein complex of EC 1.18.6.1, which catalyzes an ATP-driven reduction.	light-independent protochlorophyllide reductase.
303	2.1.1.354	Transferases.	Transferring one-carbon groups.	Methyltransferases.	[histone H3]-lysine(4) N-trimethyltransferase.	This entry describes several enzymes that successively methylate the L-lysine(4) residue of histone H3 (H3K4), ultimately generating a trimethylated form. These modifications influence the binding of chromatin-associated proteins. In most cases the trimethylation of this position is associated with gene activation. EC 2.1.1.364 describes enzymes that can catalyze only monomethylation of this substrate (the first sub-reaction of this entry). Formerly EC 2.1.1.43.	
304	3.1.1.31	Hydrolases.	Acting on ester bonds.	Carboxylic ester hydrolases.	6-phosphogluconolactonase.		
305	1.1.1.25	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	shikimate dehydrogenase (NADP(+)).	NAD(+) cannot replace NADP(+). In higher organisms, this enzyme forms part of a multienzyme complex with EC 4.2.1.10. Cf. EC 1.1.1.24, EC 1.1.1.282, and EC 1.1.5.8.	5-dehydroshikimate reductase. 5-dehydroshikimic reductase. dehydroshikimic reductase. DHS reductase. shikimate 5-dehydrogenase. shikimate dehydrogenase. shikimate oxidoreductase.
306	3.6.5.5	Hydrolases.	Acting on acid anhydrides.	Acting on GTP; involved in cellular and subcellular movement.	dynamin GTPase.	An enzyme with a molecular mass of about 100 kDa that is involved in endocytosis and is instrumental in pinching off membrane vesicles. Formerly EC 3.6.1.50.	
307	4.2.1.113	Lyases.	Carbon-oxygen lyases.	Hydro-lyases.	o-succinylbenzoate synthase.	Forms part of the vitamin-K biosynthesis pathway.	2-succinylbenzoate synthase. OSBS. OSB synthase. o-succinylbenzoic acid synthase.
308	1.1.1.37	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	malate dehydrogenase.	Also oxidizes some other 2-hydroxydicarboxylic acids.	malic dehydrogenase.
309	2.6.1.9	Transferases.	Transferring nitrogenous groups.	Transaminases.	histidinol-phosphate transaminase.		Histidinol-phosphate aminotransferase. Imidazole acetol-phosphate transaminase. imidazolylacetolphosphate aminotransferase.
310	1.16.3.1	Oxidoreductases.	Oxidizing metal ions.	With oxygen as acceptor.	ferroxidase.		ceruloplasmin. HEPH. hephaestin.
311	3.2.2.9	Hydrolases.	Glycosylases.	Hydrolyzing N-glycosyl compounds.	adenosylhomocysteine nucleosidase.		5'-methyladenosine nucleosidase. AdoHcy/MTA nucleosidase. S-adenosylhomocysteine/5'-methylthioadenosine nucleosidase. S-adenosylhomocysteine hydrolase. S-adenosylhomocysteine nucleosidase.
312	3.1.26.3	Hydrolases.	Acting on ester bonds.	Endoribonucleases producing 5'-phosphomonoesters.	ribonuclease III.	An endoribonuclease that cleaves double-stranded RNA molecules. The cleavage can be either a single-stranded nick or double-stranded break in the RNA, depending in part upon the degree of base-pairing in the region of the cleavage site. Specificity is conferred by negative determinants, i.e., the presence of certain Watson-Crick base-pairs at specific positions that strongly inhibit cleavage. RNase III is involved in both rRNA processing and mRNA processing and decay.	ribonuclease 3. RNase III.
313	6.2.1.5	Ligases.	Forming carbon-sulfur bonds.	Acid--thiol ligases.	succinate--CoA ligase (ADP-forming).		succinate thiokinase. succinyl-CoA synthetase (ADP-forming).
314	2.7.1.107	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	diacylglycerol kinase (ATP).	Involved in synthesis of membrane phospholipids and the neutral lipid triacylglycerol. Activity is stimulated by certain phospholipids. In plants and animals the product 1,2-diacyl-sn-glycerol 3-phosphate is an important second messenger. cf. EC 2.7.1.174.	DGK. diglyceride kinase.
315	2.4.2.9	Transferases.	Glycosyltransferases.	Pentosyltransferases.	uracil phosphoribosyltransferase.		UMP diphosphorylase. UMP pyrophosphorylase.
316	2.3.3.13	Transferases.	Acyltransferases.	Acyl groups converted into alkyl groups on transfer.	2-isopropylmalate synthase.	Formerly EC 4.1.3.12.	3-carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating). alpha-IPM synthetase. alpha-isopropylmalate synthase. alpha-isopropylmalate synthetase. alpha-isopropylmalic synthetase. isopropylmalate synthase. isopropylmalate synthetase.
317	7.2.2.8	Translocases.	Catalysing the translocation of inorganic cations.	Linked to the hydrolysis of a nucleoside triphosphate.	P-type Cu(+) transporter.	A P-type ATPase that undergoes covalent phosphorylation during the transport cycle. This enzyme transports Cu(+) or Ag(+), and cannot transport the divalent ions, contrary to EC 7.2.2.9, which mainly transports the divalent copper ion. Formerly EC 3.6.3.54 and EC 3.6.3.n1.	Cu(+)-exporting ATPase.
318	3.5.1.5	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In linear amides.	urease.		
319	2.7.12.2	Transferases.	Transferring phosphorus-containing groups.	Dual-specificity kinases (those acting on Ser/Thr and Tyr residues).	mitogen-activated protein kinase kinase.	A dual-specific protein kinase and requires mitogen-activated protein kinase kinase kinase (MAPKKK) for activation. It is required for activation of EC 2.7.11.24. Phosphorylation of MEK1 by Raf involves phosphorylation of two serine residues. Mitogen-activated protein kinase (MAPK) signal transduction pathways are among the most widespread mechanisms of cellular regulation. Mammalian MAPK pathways can be recruited by a wide variety of stimuli including hormones (e.g. insulin and growth hormone), mitogens (e.g. epidermal growth factor and platelet-derived growth factor), vasoactive peptides (e.g. angiotensin-II and endothelin), inflammatory cytokines of the tumor necrosis factor (TNF) family and environmental stresses such as osmotic shock, ionizing radiation and ischemeic injury.	MAP2K. MAP kinase kinase. MAPKK. MEK. MKK.
320	2.7.1.21	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	thymidine kinase.	Deoxyuridine can also act as acceptor. dGTP can also act as donor. The deoxypyrimidine kinase complex induced by Herpes simplex virus catalyzes this reaction as well as those of EC 2.7.1.114, EC 2.7.1.118 and EC 2.7.4.9. Formerly EC 2.7.1.75.	
321	2.7.10.2	Transferases.	Transferring phosphorus-containing groups.	Protein-tyrosine kinases.	non-specific protein-tyrosine kinase.	Unlike EC 2.7.10.1, this protein-tyrosine kinase does not have a transmembrane domain. In the human genome, 32 non-specific protein-tyrosine kinases have been identified and these can be divided into 10 families. Formerly EC 2.7.1.112.	cytoplasmic protein tyrosine kinase.
